"Evaluation","Journal","issnJournal","nameJournal","KnowledgeField","idKnowledgeField","nameKnowledgeField","yearEvaluation","yearIndex","Qualis","qualisIndex"
"Journal_1414-915X_KnowledgeField_4_YearEvaluation_2005_Qualis_C","Journal_1414-915X","1414-915X","(Syn)Thesis (Rio de Janeiro)","KnowledgeField_4",4,"QUÍMICA","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_1981-030X_KnowledgeField_11_YearEvaluation_2005_Qualis_B2","Journal_1981-030X","1981-030X","19&20 (Rio de Janeiro)","KnowledgeField_11",11,"ARTES / MÚSICA","YearEvaluation_2005",2005,"Qualis_B2","B2"
"Journal_1981-030X_KnowledgeField_40_YearEvaluation_2005_Qualis_B5","Journal_1981-030X","1981-030X","19&20 (Rio de Janeiro)","KnowledgeField_40",40,"HISTÓRIA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1678-6416_KnowledgeField_36_YearEvaluation_2005_Qualis_B5","Journal_1678-6416","1678-6416","7 Faces (Itabira)","KnowledgeField_36",36,"GEOGRAFIA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1516-1528_KnowledgeField_10_YearEvaluation_2005_Qualis_B4","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_10",10,"ENGENHARIAS I","YearEvaluation_2005",2005,"Qualis_B4","B4"
"Journal_1516-1528_KnowledgeField_45_YearEvaluation_2005_Qualis_B5","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1516-1528_KnowledgeField_15_YearEvaluation_2005_Qualis_B5","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_15",15,"MEDICINA I","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1516-1528_KnowledgeField_16_YearEvaluation_2005_Qualis_B5","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_16",16,"MEDICINA II","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1516-1528_KnowledgeField_17_YearEvaluation_2005_Qualis_B5","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_17",17,"MEDICINA III","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1516-1528_KnowledgeField_18_YearEvaluation_2005_Qualis_B5","Journal_1516-1528","1516-1528","@rquivos da Fundação Otorrinolaringologia","KnowledgeField_18",18,"ODONTOLOGIA","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1677-7530_KnowledgeField_16_YearEvaluation_2005_Qualis_B5","Journal_1677-7530","1677-7530","@rquivos de Otorrinolaringologia (Cessou em 2005. Cont. 1809-4872 @rquivos Internacionais de Otorrinolaringologia)","KnowledgeField_16",16,"MEDICINA II","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_0104-7922_KnowledgeField_27_YearEvaluation_2005_Qualis_B5","Journal_0104-7922","0104-7922","A Água em Revista","KnowledgeField_27",27,"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_0104-7922_KnowledgeField_45_YearEvaluation_2005_Qualis_B5","Journal_0104-7922","0104-7922","A Água em Revista","KnowledgeField_45",45,"INTERDISCIPLINAR","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_1677-0579_KnowledgeField_10_YearEvaluation_2005_Qualis_B5","Journal_1677-0579","1677-0579","A Construção em Goiás","KnowledgeField_10",10,"ENGENHARIAS I","YearEvaluation_2005",2005,"Qualis_B5","B5"
"Journal_0010-6631_KnowledgeField_15_YearEvaluation_2005_Qualis_C","Journal_0010-6631","0010-6631","A Construção São Paulo","KnowledgeField_15",15,"MEDICINA I","YearEvaluation_2005",2005,"Qualis_C","C"
"Journal_1548-7083_KnowledgeField_41_YearEvaluation_2005_Qualis_B2","Journal_1548-7083","1548-7083","A Contracorriente (Raleigh, N.C.)","KnowledgeField_41",41,"LETRAS / LINGUÍSTICA","YearEvaluation_2005",2005,"Qualis_B2","B2"
